"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q10","BC337","-150,622mm","79,121mm","-151,638mm","79,121mm","-149,606mm","80,137mm","B","180,00",""
"D36","4148","-147,447mm","79,5401mm","-147,447mm","81,0006mm","-147,447mm","81,0006mm","B","180,00",""
"D29","4148","-121,92mm","79,3115mm","-121,92mm","80,772mm","-121,92mm","80,772mm","B","180,00",""
"R60","SM/R/0805P","-129,921mm","79,121mm","-129,921mm","80,264mm","-129,921mm","80,264mm","B","180,00",""
"Q5","BC337","-127,127mm","77,978mm","-128,143mm","77,978mm","-126,111mm","78,994mm","B","180,00",""
"R40","SM/R/0805P","-126,873mm","82,677mm","-126,873mm","81,534mm","-126,873mm","81,534mm","B","180,00",""
"R38","SM/R/0805P","-129,921mm","82,677mm","-129,921mm","83,82mm","-129,921mm","83,82mm","B","180,00",""
"R70","SM/R/0805P","-121,92mm","74,422mm","-121,92mm","75,565mm","-121,92mm","75,565mm","B","180,00",""
"TR4","E16/7","-176,657mm","83,8835mm","-183,007mm","89,027mm","-170,307mm","89,027mm","T","180,00",""
"D31","4148","-124,333mm","82,3595mm","-124,333mm","83,82mm","-124,333mm","83,82mm","B","180,00",""
"D34","4148","-162,56mm","82,3595mm","-162,56mm","83,82mm","-162,56mm","83,82mm","B","180,00",""
"R76","SM/R/0805P","-160,147mm","74,422mm","-160,147mm","75,565mm","-160,147mm","75,565mm","B","180,00",""
"R39","SM/R/0805P","-168,148mm","82,677mm","-168,148mm","83,82mm","-168,148mm","83,82mm","B","180,00",""
"R41","SM/R/0805P","-165,1mm","82,677mm","-165,1mm","81,534mm","-165,1mm","81,534mm","B","180,00",""
"Q9","BC337","-165,481mm","77,978mm","-166,497mm","77,978mm","-164,465mm","78,994mm","B","180,00",""
"R61","SM/R/0805P","-168,148mm","79,121mm","-168,148mm","80,264mm","-168,148mm","80,264mm","B","180,00",""
"D30","4148","-160,147mm","79,4385mm","-160,147mm","80,899mm","-160,147mm","80,899mm","B","180,00",""
"D37","4148","-185,674mm","79,5655mm","-185,674mm","81,026mm","-185,674mm","81,026mm","B","180,00",""
"Q11","BC337","-188,849mm","79,121mm","-189,865mm","79,121mm","-187,833mm","80,137mm","B","180,00",""
"R114","SM/R/0805P","-188,595mm","83,82mm","-188,595mm","84,963mm","-188,595mm","84,963mm","B","180,00",""
"R105","SM/R/0805P","-185,674mm","83,82mm","-185,674mm","84,963mm","-185,674mm","84,963mm","B","180,00",""
"R118","SM/R/0805P","-193,675mm","78,994mm","-193,675mm","80,137mm","-193,675mm","80,137mm","B","180,00",""
"R78","SM/R/0805P","-179,197mm","74,422mm","-179,197mm","75,565mm","-179,197mm","75,565mm","B","180,00",""
"D40","4148","-191,516mm","82,4865mm","-191,516mm","83,947mm","-191,516mm","83,947mm","B","180,00",""
"TR3","E16/7","-138,43mm","83,8581mm","-144,78mm","89,0016mm","-132,08mm","89,0016mm","T","180,00",""
"C16","1U/100V","-194,437mm","87,249mm","-189,357mm","87,249mm","-189,357mm","87,249mm","T","180,00",""
"L5","IND_15AWG","-331,1525mm","44,577mm","-324,231mm","40,767mm","-324,231mm","40,767mm","T","180,00",""
"C36","1U/100V","-330,2mm","66,675mm","-325,12mm","66,675mm","-325,12mm","66,675mm","T","180,00",""
"T7","S1","-366,649mm","88,392mm","-366,649mm","88,392mm","-366,649mm","88,392mm","T","180,00",""
"D35","4007","-198,882mm","8,89mm","-198,882mm","11,303mm","-198,882mm","6,477mm","B","180,00",""
"S6","HI-LOK_2VIAS_PCI","-358,902mm","15,367mm","-362,077mm","15,367mm","-355,727mm","15,367mm","T","180,00",""
"R103","RESVER4","-90,17mm","32,258mm","-90,17mm","27,178mm","-90,17mm","27,178mm","T","180,00",""
"R104","RES_2W","-86,614mm","34,2265mm","-86,614mm","31,115mm","-86,614mm","31,115mm","T","180,00",""
"R107","RES1W/VERT","-167,259mm","45,72mm","-169,799mm","45,72mm","-164,719mm","45,72mm","T","90,00",""
"D33","4148","-165,227mm","41,5925mm","-165,227mm","43,053mm","-165,227mm","43,053mm","B","180,00",""
"D39","4148","-167,513mm","41,5925mm","-167,513mm","43,053mm","-167,513mm","43,053mm","B","180,00",""
"D18","4148","-169,799mm","41,5925mm","-169,799mm","40,132mm","-169,799mm","40,132mm","B","360,00",""
"D19","4148","-162,941mm","41,5925mm","-162,941mm","40,132mm","-162,941mm","40,132mm","B","360,00",""
"J4","JUMP1","-114,808mm","82,804mm","-114,808mm","84,963mm","-114,808mm","82,804mm","T","180,00",""
"R120","SM/R/0805P","-288,798mm","1,27mm","-288,798mm","2,413mm","-288,798mm","2,413mm","B","180,00",""
"R119","SM/R/0805P","-290,83mm","1,27mm","-290,83mm","2,413mm","-290,83mm","2,413mm","B","180,00",""

