"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R96","RES4","-192,024mm","6,604mm","-192,024mm","11,684mm","-192,024mm","11,684mm","T","180,00",""
"C63","2N2/250VCA","-195,326mm","5,207mm","-195,326mm","1,397mm","-195,326mm","1,397mm","T","180,00",""
"D25","4007","-203,708mm","4,064mm","-203,708mm","6,477mm","-203,708mm","1,651mm","B","180,00",""
"CV1","VARISTOR15","-97,663mm","-0,127mm","-93,853mm","-0,127mm","-101,473mm","-0,127mm","T","180,00",""
"P2","PONTE_GBJ","-76,835mm","13,208mm","-76,835mm","0,508mm","-76,835mm","10,668mm","T","180,00",""
"Q20","BC337","-139,065mm","7,747mm","-138,049mm","7,747mm","-138,049mm","7,747mm","B","180,00",""
"U5","TL431","-137,795mm","21,9075mm","-139,7mm","24,765mm","-135,89mm","19,05mm","B","180,00",""
"D8","4007","-132,842mm","25,146mm","-132,842mm","22,733mm","-132,842mm","27,559mm","B","180,00",""
"Q15","TO-247","-112,395mm","47,498mm","-117,475mm","47,498mm","-117,475mm","47,498mm","T","180,00",""
"D14","4007","-87,249mm","53,594mm","-87,249mm","56,007mm","-87,249mm","51,181mm","B","180,00",""
"C31","C47/50-ER","-151,765mm","11,938mm","-151,765mm","13,208mm","-151,765mm","13,208mm","T","180,00",""
"D15","TO220-SD1","-131,445mm","47,879mm","-134,239mm","47,879mm","-134,239mm","47,879mm","T","180,00",""
"D20","4007","-178,308mm","18,288mm","-178,308mm","15,875mm","-178,308mm","20,701mm","B","180,00",""
"R82","R1206/0805","-168,529mm","12,5095mm","-168,529mm","11,049mm","-168,529mm","11,049mm","B","180,00",""
"R95","R1206/0805","-166,116mm","12,5095mm","-166,116mm","11,049mm","-166,116mm","11,049mm","B","180,00",""
"Q8","TO-247","-93,345mm","47,498mm","-98,425mm","47,498mm","-98,425mm","47,498mm","T","180,00",""
"D28","4007","-106,172mm","52,832mm","-106,172mm","55,245mm","-106,172mm","50,419mm","B","180,00",""
"C11","CCIR100","-97,536mm","73,533mm","-97,536mm","78,613mm","-97,536mm","78,613mm","T","180,00",""
"Q7","BC337","-190,373mm","23,368mm","-191,389mm","23,368mm","-191,389mm","23,368mm","B","180,00",""
"C10","CCIR100","-71,628mm","73,533mm","-71,628mm","78,613mm","-71,628mm","78,613mm","T","180,00",""
"C48","ELCO_CANECA10mm","-173,863mm","13,335mm","-173,863mm","15,875mm","-173,863mm","15,875mm","T","180,00",""
"D10","SDO-214AB/AK","-115,824mm","14,0843mm","-115,824mm","17,653mm","-115,824mm","10,5156mm","B","180,00",""
"L9","EI40_V_12_PINO","-271,3482mm","45,974mm","-283,845mm","58,293mm","-283,845mm","58,293mm","T","180,00",""
"D21","TO220-SD1","-262,763mm","20,828mm","-259,969mm","20,828mm","-259,969mm","20,828mm","T","180,00",""
"D9","TO220-SD1","-290,83mm","71,12mm","-293,624mm","71,12mm","-293,624mm","71,12mm","T","180,00",""
"D2","TO220-SD1","-262,89mm","71,12mm","-265,684mm","71,12mm","-265,684mm","71,12mm","T","180,00",""
"D1","TO220-SD1","-276,86mm","71,12mm","-279,654mm","71,12mm","-279,654mm","71,12mm","T","180,00",""
"R19","AXIAL0,4","-242,951mm","73,914mm","-248,031mm","73,914mm","-248,031mm","73,914mm","T","180,00",""
"R20","AXIAL0,4","-242,824mm","21,209mm","-237,744mm","21,209mm","-237,744mm","21,209mm","T","90,00",""
"C28","CDIS2","-251,841mm","21,209mm","-254,381mm","21,209mm","-254,381mm","21,209mm","T","180,00",""
"T1","S1","-155,448mm","43,18mm","-155,448mm","43,18mm","-155,448mm","43,18mm","T","180,00",""
"Q19","TO-247","-165,227mm","70,866mm","-160,147mm","70,866mm","-160,147mm","70,866mm","T","180,00",""
"D11","SM/D/LL4007","-154,559mm","72,644mm","-154,559mm","75,057mm","-154,559mm","70,231mm","B","180,00",""
"D12","SM/D/LL4007","-173,609mm","72,644mm","-173,609mm","75,057mm","-173,609mm","70,231mm","B","180,00",""
"D16","SM/D/LL4007","-192,659mm","72,644mm","-192,659mm","75,057mm","-192,659mm","70,231mm","B","180,00",""
"D7","SM/D/LL4007","-135,382mm","72,644mm","-135,382mm","75,057mm","-135,382mm","70,231mm","B","180,00",""
"D22","TO220-SD1","-290,703mm","20,828mm","-287,909mm","20,828mm","-287,909mm","20,828mm","T","180,00",""
"D23","TO220-SD1","-276,733mm","20,828mm","-273,939mm","20,828mm","-273,939mm","20,828mm","T","180,00",""
"Q21","TO-247","-184,277mm","70,866mm","-179,197mm","70,866mm","-179,197mm","70,866mm","T","180,00",""
"Q17","TO-247","-146,177mm","70,866mm","-141,097mm","70,866mm","-141,097mm","70,866mm","T","180,00",""
"Q18","TO-247","-127mm","70,866mm","-121,92mm","70,866mm","-121,92mm","70,866mm","T","180,00",""
"R99","RPR05V","-298,577mm","42,037mm","-298,577mm","38,227mm","-298,577mm","45,847mm","T","180,00",""
"R100","RPR05V","-298,577mm","52,07mm","-298,577mm","55,88mm","-298,577mm","48,26mm","T","180,00",""
"C14","1000u/35V","-305,308mm","64,262mm","-305,308mm","61,722mm","-305,308mm","61,722mm","T","180,00",""
"C15","1000u/35V","-310,007mm","52,578mm","-310,007mm","50,038mm","-310,007mm","50,038mm","T","180,00",""
"C30","1000u/35V","-309,88mm","39,751mm","-309,88mm","37,211mm","-309,88mm","37,211mm","T","180,00",""
"C50","1000u/35V","-305,181mm","27,432mm","-305,181mm","24,892mm","-305,181mm","24,892mm","T","180,00",""
"T3","S1","-313,563mm","88,392mm","-313,563mm","88,392mm","-313,563mm","88,392mm","T","180,00",""
"A5","DIS_5317_65","-269,6845mm","15,748mm","-299,72mm","15,748mm","-299,72mm","15,748mm","T","180,00",""
"A6","DIS_5317_65","-283,7815mm","76,2mm","-313,817mm","76,2mm","-313,817mm","76,2mm","T","180,00",""
"Q1","TO-247","-74,422mm","47,498mm","-79,502mm","47,498mm","-79,502mm","47,498mm","T","180,00",""
"D26","4007","-69,342mm","54,483mm","-69,342mm","56,896mm","-69,342mm","52,07mm","B","180,00",""
"C38","2U2/250V","-184,658mm","48,8315mm","-184,658mm","59,944mm","-184,658mm","59,944mm","T","180,00",""
"D27","SDO-214AB/AK","-229,743mm","16,6497mm","-229,743mm","13,081mm","-229,743mm","20,2184mm","B","180,00",""
"RL2","RELE_FINDER","-96,52mm","12,827mm","-96,52mm","19,812mm","-96,52mm","19,812mm","T","180,00",""
"C19","2N2/250VCA","-60,833mm","86,106mm","-60,833mm","82,296mm","-60,833mm","82,296mm","T","180,00",""
"C104","470uF/16V","-101,346mm","27,305mm","-99,568mm","27,305mm","-99,568mm","27,305mm","T","180,00",""
"TR5","E25/10TERZI","-214,122mm","13,589mm","-207,899mm","3,683mm","-207,899mm","3,683mm","T","180,00",""
"CN4","CNY","-255,9685mm","88,265mm","-236,855mm","88,265mm","-236,855mm","88,265mm","T","180,00",""
"T4","S1","-10,541mm","88,392mm","-10,541mm","88,392mm","-10,541mm","88,392mm","T","180,00",""
