"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"A2","FIDUCIAL","-15,24mm","136,3726mm","-15,24mm","136,3726mm","-15,24mm","136,3726mm","B","0,00",""
"","TO247","-182,118mm","31,5976mm","-182,118mm","26,5176mm","-182,118mm","26,5176mm","T","0,00",""
"C26","CCIR2","-34,798mm","44,4246mm","-34,798mm","46,9646mm","-34,798mm","46,9646mm","T","0,00",""
"R63","SM/R/0805","-219,583mm","106,4006mm","-218,44mm","106,4006mm","-218,44mm","106,4006mm","B","0,00",""
"R64","SM/R/0805","-227,076mm","122,6566mm","-225,933mm","122,6566mm","-225,933mm","122,6566mm","B","0,00",""
"DR1","SM/D/1N4007","-163,957mm","16,9926mm","-163,957mm","19,4056mm","-163,957mm","19,4056mm","T","0,00",""
"Z3","DO213AB/KA","-189,738mm","115,7986mm","-189,738mm","118,2116mm","-189,738mm","113,3856mm","T","0,00",""
"Z1","DO213AB/KA","-189,611mm","77,9526mm","-189,611mm","75,5396mm","-189,611mm","80,3656mm","T","0,00",""
"Z2","DO213AB/KA","-189,611mm","31,3436mm","-189,611mm","28,9306mm","-189,611mm","33,7566mm","T","0,00",""
"J67","JUMP21","-15,24mm","56,1086mm","-17,145mm","56,1086mm","-13,335mm","56,1086mm","T","0,00",""
"D14","Diodo3A","-94,6023mm","47,3456mm","-98,171mm","47,3456mm","-91,0336mm","47,3456mm","T","0,00",""
"D13","Diodo3A","-94,6023mm","40,6146mm","-98,171mm","40,6146mm","-91,0336mm","40,6146mm","T","0,00",""
"D9","Diodo3A","-94,6277mm","54,0766mm","-91,059mm","54,0766mm","-98,1964mm","54,0766mm","T","0,00",""
"D10","Diodo3A","-94,6277mm","60,8076mm","-91,059mm","60,8076mm","-98,1964mm","60,8076mm","T","0,00",""
"D12","Diodo3A","-94,996mm","29,5783mm","-94,996mm","26,0096mm","-94,996mm","33,147mm","T","0,00",""
"D11","Diodo3A","-88,392mm","29,5783mm","-88,392mm","26,0096mm","-88,392mm","33,147mm","T","0,00",""
"D23","Diodo3A","-81,788mm","29,5529mm","-81,788mm","33,1216mm","-81,788mm","25,9842mm","T","0,00",""
"D8","Diodo3A","-75,184mm","29,5529mm","-75,184mm","33,1216mm","-75,184mm","25,9842mm","T","0,00",""
"L2","EI40N","-73,8632mm","59,8043mm","-86,36mm","74,3966mm","-86,36mm","59,7154mm","T","0,00",""
"R52","SM/R/0805","-286,639mm","39,5986mm","-286,639mm","38,4556mm","-286,639mm","38,4556mm","B","0,00",""
"R49","SM/R/0805","-286,639mm","19,4056mm","-286,639mm","18,2626mm","-286,639mm","18,2626mm","B","0,00",""
"R48","SM/R/0805","-286,639mm","29,5656mm","-286,639mm","28,4226mm","-286,639mm","28,4226mm","B","0,00",""
"U4","SM/OPTO","-254,635mm","32,8676mm","-255,905mm","29,0576mm","-255,905mm","29,0576mm","T","0,00",""
"C12","2u2/250V2","-77,597mm","121,5136mm","-77,597mm","110,3376mm","-77,597mm","110,3376mm","T","0,00",""
"C11","2u2/250V2","-36,195mm","120,6246mm","-36,195mm","109,4486mm","-36,195mm","109,4486mm","T","0,00",""
"CX5","1U/100V","-104,394mm","114,7826mm","-104,394mm","119,8626mm","-104,394mm","119,8626mm","T","0,00",""
"C29","SM/R/0805","-226,949mm","7,0866mm","-226,949mm","5,9436mm","-226,949mm","5,9436mm","B","0,00",""
"R12","SM/R/0805","-221,742mm","81,2546mm","-221,742mm","80,1116mm","-221,742mm","80,1116mm","B","0,00",""
"L1","C15","-91,694mm","121,8946mm","-97,917mm","129,5146mm","-85,471mm","114,2746mm","T","0,00",""
"CX4","1U/100V","-104,394mm","127,7366mm","-104,394mm","122,6566mm","-104,394mm","122,6566mm","T","0,00",""
"C35","SM/R/0805","-238,506mm","120,3706mm","-238,506mm","119,2276mm","-238,506mm","119,2276mm","B","0,00",""
"VR1","CDIS4","-47,625mm","121,1326mm","-47,625mm","126,2126mm","-47,625mm","126,2126mm","T","0,00",""
"DR8","SM/D/1N4007","-163,957mm","16,9926mm","-163,957mm","19,4056mm","-163,957mm","19,4056mm","B","0,00",""
"C5","100N/63/100V","-157,353mm","14,9606mm","-157,353mm","11,1506mm","-157,353mm","11,1506mm","T","0,00",""
"C4","100N/63/100V","-195,072mm","54,4576mm","-198,882mm","54,4576mm","-198,882mm","54,4576mm","T","0,00",""
"R10","RES9","-154,94mm","114,0206mm","-143,51mm","114,0206mm","-143,51mm","114,0206mm","T","0,00",""
"CH1","FURO","-57,277mm","109,601mm","-57,277mm","109,5756mm","-57,277mm","109,601mm","T","0,00",""
"","FURO","-48,641mm","109,601mm","-48,641mm","109,5756mm","-48,641mm","109,601mm","T","0,00",""
"R65","SM/R/0805","-248,666mm","41,8846mm","-248,666mm","40,7416mm","-248,666mm","40,7416mm","B","0,00",""
"C23","100N/63/100V","-101,219mm","80,7466mm","-101,219mm","84,5566mm","-101,219mm","84,5566mm","T","0,00",""
"C6","CCIR1","-247,396mm","82,7786mm","-248,666mm","82,7786mm","-248,666mm","82,7786mm","T","0,00",""
"D12","Diodo3A","-94,996mm","29,5783mm","-94,996mm","26,0096mm","-94,996mm","33,147mm","B","0,00",""
"TR1","E42/15","-125,984mm","33,8328mm","-108,712mm","46,3296mm","-143,256mm","46,3296mm","T","0,00",""
