"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C9","CCIR1","-253,492mm","110,2106mm","-253,492mm","108,9406mm","-253,492mm","108,9406mm","T","0,00",""
"C39","CCIR1","-225,298mm","115,9256mm","-224,028mm","115,9256mm","-224,028mm","115,9256mm","T","0,00",""
"Q6","BC337","-248,666mm","92,1766mm","-246,126mm","92,1766mm","-251,206mm","92,1766mm","T","0,00",""
"R42","SM/R/0805","-193,802mm","26,1366mm","-194,945mm","26,1366mm","-194,945mm","26,1366mm","B","0,00",""
"R5","SM/R/0805","-197,739mm","81,5086mm","-197,739mm","80,3656mm","-197,739mm","80,3656mm","B","0,00",""
"R3","SM/R/0805","-205,232mm","72,4916mm","-206,375mm","72,4916mm","-206,375mm","72,4916mm","B","0,00",""
"D5","DO213AA/KA","-199,4662mm","26,1366mm","-197,739mm","26,1366mm","-201,1934mm","26,1366mm","B","0,00",""
"R6","SM/R/0805","-198,247mm","33,5026mm","-198,247mm","32,3596mm","-198,247mm","32,3596mm","B","0,00",""
"R4","SM/R/0805","-201,168mm","33,5026mm","-201,168mm","34,6456mm","-201,168mm","34,6456mm","B","0,00",""
"R45","SM/R/0805","-236,728mm","75,1586mm","-236,728mm","76,3016mm","-236,728mm","76,3016mm","B","0,00",""
"Q9","SOP/SOIC8","-217,805mm","21,2725mm","-219,71mm","24,1046mm","-217,17mm","24,1046mm","B","0,00",""
"Z2","DO213AB/KA","-189,611mm","31,3436mm","-189,611mm","28,9306mm","-189,611mm","33,7566mm","B","0,00",""
"DR7","SM/D/1N4007","-201,803mm","62,2046mm","-201,803mm","64,6176mm","-201,803mm","64,6176mm","B","0,00",""
"RV1","TRIMPO1","-224,155mm","12,8016mm","-229,235mm","12,8016mm","-219,075mm","15,3416mm","T","0,00",""
"R2","RESVER","-11,684mm","92,3036mm","-11,684mm","96,1136mm","-11,684mm","96,1136mm","T","0,00",""
"J9","JUMP1","-213,868mm","14,0716mm","-213,868mm","15,3416mm","-213,868mm","15,3416mm","T","0,00",""
"J6","JUMP1","-238,125mm","24,9936mm","-238,125mm","26,2636mm","-238,125mm","26,2636mm","T","0,00",""
"J7","JUMP1","-244,475mm","24,9936mm","-244,475mm","26,2636mm","-244,475mm","26,2636mm","T","0,00",""
"C10","C10/50-ER","-226,695mm","21,4376mm","-226,695mm","22,7076mm","-226,695mm","22,7076mm","T","0,00",""
"R1","RES4","-157,734mm","86,3346mm","-162,814mm","86,3346mm","-162,814mm","86,3346mm","T","0,00",""
"R27","RES4","-100,203mm","37,6936mm","-100,203mm","32,6136mm","-100,203mm","32,6136mm","T","0,00",""
"R63A","RES4","-221,361mm","106,2736mm","-216,281mm","106,2736mm","-216,281mm","106,2736mm","T","0,00",""
"R64A","RES4","-223,393mm","120,2436mm","-218,313mm","120,2436mm","-218,313mm","120,2436mm","T","0,00",""
"R28","RES4","-104,394mm","79,4766mm","-104,394mm","74,3966mm","-104,394mm","74,3966mm","T","0,00",""
"J1","SIP3","-23,622mm","129,6416mm","-23,622mm","132,1816mm","-23,622mm","132,1816mm","T","0,00",""
"LD3","JUMP1","-286,639mm","95,9866mm","-286,639mm","94,7166mm","-286,639mm","97,2566mm","T","0,00",""
"LD1","JUMP1","-286,639mm","78,9686mm","-286,639mm","77,6986mm","-286,639mm","80,2386mm","T","0,00",""
"LD2","JUMP1","-286,639mm","62,0776mm","-286,639mm","60,8076mm","-286,639mm","63,3476mm","T","0,00",""
"J4","S12","-277,0886mm","110,3249mm","-276,987mm","107,9246mm","-277,0886mm","107,823mm","T","0,00",""
"","S2","-274,828mm","94,5896mm","-274,828mm","94,5896mm","-274,828mm","94,5896mm","T","0,00",""
"","S2","-274,828mm","78,4606mm","-274,828mm","78,4606mm","-274,828mm","78,4606mm","T","0,00",""
"","S2","-274,828mm","63,3476mm","-274,828mm","63,3476mm","-274,828mm","63,3476mm","T","0,00",""
"","S2","-275,336mm","48,6156mm","-275,336mm","48,6156mm","-275,336mm","48,6156mm","T","0,00",""
"R8","RES5","-170,307mm","17,5006mm","-170,307mm","23,8506mm","-170,307mm","23,8506mm","T","0,00",""
"R7","RES5","-206,248mm","60,8076mm","-206,248mm","67,1576mm","-206,248mm","67,1576mm","T","0,00",""
"Q2","TO-54","-194,31mm","32,1056mm","-195,58mm","34,6456mm","-195,58mm","29,5656mm","T","0,00",""
"D1","DIODO6","-52,451mm","122,0216mm","-52,451mm","114,4016mm","-52,451mm","129,6416mm","T","0,00",""
"J5","JUMP1","-255,905mm","24,9936mm","-255,905mm","26,2636mm","-255,905mm","26,2636mm","T","0,00",""
"C17","CCIR1","-234,188mm","83,2866mm","-234,188mm","82,0166mm","-234,188mm","82,0166mm","T","0,00",""
"C18","CCIR1","-247,396mm","97,1296mm","-248,666mm","97,1296mm","-248,666mm","97,1296mm","T","0,00",""
"C19","CCIR1","-230,124mm","53,6956mm","-230,124mm","52,4256mm","-230,124mm","52,4256mm","T","0,00",""
"C34","CCIR1","-253,492mm","116,5606mm","-253,492mm","117,8306mm","-253,492mm","117,8306mm","T","0,00",""
"C36","CCIR1","-233,68mm","114,0206mm","-234,95mm","114,0206mm","-232,41mm","114,0206mm","T","0,00",""
"C38","CCIR1","-219,583mm","110,2106mm","-218,313mm","110,2106mm","-220,853mm","110,2106mm","T","0,00",""
"C37","CCIR1","-213,741mm","95,4786mm","-212,471mm","95,4786mm","-212,471mm","95,4786mm","T","0,00",""
"C16A","CCIR1","-225,044mm","70,3326mm","-225,044mm","71,6026mm","-225,044mm","71,6026mm","T","0,00",""
"C16B","CCIR1","-222,758mm","54,2036mm","-221,488mm","54,2036mm","-221,488mm","54,2036mm","T","0,00",""
"R30","RESVER","-25,146mm","55,8546mm","-25,146mm","59,6646mm","-25,146mm","52,0446mm","T","0,00",""
"R31","RESVER","-25,146mm","43,4086mm","-25,146mm","47,2186mm","-25,146mm","39,5986mm","T","0,00",""
"R32","RESVER","-19,304mm","92,3036mm","-19,304mm","96,1136mm","-19,304mm","96,1136mm","T","0,00",""
"Q1","TO-54","-194,437mm","80,1116mm","-195,707mm","82,6516mm","-195,707mm","77,5716mm","T","0,00",""
"D20","TO-220SD2","-33,274mm","81,5086mm","-33,274mm","84,6836mm","-33,274mm","84,6836mm","T","0,00",""
"J2","SIP3","-251,206mm","45,9486mm","-248,666mm","45,9486mm","-248,666mm","45,9486mm","T","0,00",""
"J3","SIP3","-233,045mm","127,4826mm","-233,045mm","124,9426mm","-233,045mm","124,9426mm","T","0,00",""
"U1","DIP16","-230,378mm","61,5696mm","-239,268mm","57,7596mm","-239,268mm","57,7596mm","T","0,00",""
"U2","DIP8","-235,458mm","75,1586mm","-239,268mm","71,3486mm","-239,268mm","71,3486mm","T","0,00",""
"U5","DIP8","-242,316mm","113,8936mm","-246,126mm","110,0836mm","-246,126mm","110,0836mm","T","0,00",""
"CN1","EDGE22A","9,271mm","79,6544mm","9,271mm","121,2596mm","9,271mm","113,3348mm","T","0,00",""
"L5","INDUTOR","-47,117mm","84,0486mm","-53,975mm","82,7786mm","-53,975mm","85,3186mm","T","0,00",""
"C15","CCIR2","-221,742mm","80,1116mm","-224,282mm","80,1116mm","-224,282mm","80,1116mm","T","0,00",""
"DR7A","DIODO4M","-201,803mm","62,0776mm","-201,803mm","56,9976mm","-201,803mm","67,1576mm","T","0,00",""
"DR8A","DIODO4M","-164,084mm","16,4846mm","-164,084mm","11,4046mm","-164,084mm","21,5646mm","T","0,00",""
"Z1A","DIODO4","-189,611mm","77,5716mm","-189,611mm","72,4916mm","-189,611mm","82,6516mm","T","0,00",""
"Z2A","DIODO4","-189,611mm","31,2166mm","-189,611mm","26,1366mm","-189,611mm","36,2966mm","T","0,00",""
"R29","RES4","-130,429mm","66,9036mm","-130,429mm","61,8236mm","-130,429mm","61,8236mm","T","0,00",""
"Z3A","DIODO4","-189,738mm","115,9256mm","-189,738mm","121,0056mm","-189,738mm","110,8456mm","T","0,00",""
"Z6","DIODO4","-238,125mm","11,5316mm","-238,125mm","6,4516mm","-238,125mm","16,6116mm","T","0,00",""
"Z7","DIODO4","-252,857mm","13,9446mm","-252,857mm","8,8646mm","-252,857mm","19,0246mm","T","0,00",""
"Z8","DIODO4","-246,888mm","13,6906mm","-246,888mm","18,7706mm","-246,888mm","8,6106mm","T","0,00",""
"C42","CCIR2","-4,191mm","79,6036mm","-4,191mm","82,1436mm","-4,191mm","82,1436mm","T","0,00",""
"C40","CCIR2","-3,175mm","67,2846mm","-3,175mm","69,8246mm","-3,175mm","69,8246mm","T","0,00",""
"C41","CCIR2","-3,175mm","55,2196mm","-3,175mm","57,7596mm","-3,175mm","57,7596mm","T","0,00",""
"L4","INDUTOR5","-47,752mm","40,9956mm","-54,102mm","40,9956mm","-54,102mm","40,9956mm","T","0,00",""
"L3","INDUTOR5","-47,625mm","59,6646mm","-53,975mm","59,6646mm","-53,975mm","59,6646mm","T","0,00",""
"S1","ALTOFALANTE","-222,123mm","130,1496mm","-228,473mm","130,1496mm","-228,473mm","130,1496mm","T","0,00",""
"C3","CCIR2200","-160,02mm","55,8546mm","-156,21mm","55,8546mm","-156,21mm","55,8546mm","T","0,00",""
"C2","CCIR2200","-160,02mm","75,1586mm","-156,21mm","75,1586mm","-156,21mm","75,1586mm","T","0,00",""
"RX1","RES9","-128,651mm","107,1626mm","-140,081mm","107,1626mm","-140,081mm","107,1626mm","T","0,00",""
"RX2","RES9","-154,94mm","107,1626mm","-166,37mm","107,1626mm","-166,37mm","107,1626mm","T","0,00",""
"D16","TO220/3SD","-117,475mm","81,2546mm","-117,475mm","78,0796mm","-117,475mm","78,0796mm","T","0,00",""
"D19","TO22O/3","-28,321mm","81,1911mm","-26,67mm","78,3336mm","-26,67mm","84,6836mm","T","0,00",""
"X3","FURO","-150,876mm","65,405mm","-150,876mm","65,3796mm","-150,876mm","65,405mm","T","0,00",""
"Q4","ESTRELAO","-184,2135mm","31,2801mm","-183,007mm","28,4226mm","-183,007mm","28,4226mm","T","0,00",""
"Q3","ESTRELAO","-184,658mm","77,6351mm","-183,388mm","74,7776mm","-183,388mm","74,7776mm","T","0,00",""
"D15","ESTRELAO","-112,395mm","80,9371mm","-110,744mm","78,0796mm","-110,744mm","78,0796mm","T","0,00",""
"R16A","RPR02","-210,947mm","43,6626mm","-210,947mm","36,6776mm","-210,947mm","36,6776mm","T","0,00",""
"R14","RPR02","-231,648mm","94,3356mm","-231,648mm","101,3206mm","-231,648mm","101,3206mm","T","0,00",""
"CX3","2N2/250VCA","-43,434mm","125,1966mm","-43,434mm","121,3866mm","-43,434mm","129,0066mm","T","0,00",""
"CX2","2N2/250VCA","-43,434mm","114,1476mm","-43,434mm","117,9576mm","-43,434mm","110,3376mm","T","0,00",""
"CX1","2N2/250VCA","-29,083mm","128,3716mm","-29,083mm","124,5616mm","-29,083mm","132,1816mm","T","0,00",""
"J8","SIP3","-211,074mm","127,4826mm","-211,074mm","124,9426mm","-211,074mm","124,9426mm","T","0,00",""
"R14A","TRIMPO1","-239,141mm","93,8276mm","-239,141mm","88,7476mm","-236,601mm","98,9076mm","T","0,00",""
"Z1","DO213AB/KA","-189,611mm","77,9526mm","-189,611mm","75,5396mm","-189,611mm","80,3656mm","B","0,00",""
"Z3","DO213AB/KA","-189,738mm","115,7986mm","-189,738mm","118,2116mm","-189,738mm","113,3856mm","B","0,00",""
"RM1","SM/R/0805","-271,018mm","93,4466mm","-271,018mm","92,3036mm","-271,018mm","92,3036mm","B","0,00",""
"RM2","SM/R/0805","-271,018mm","77,3176mm","-271,018mm","78,4606mm","-271,018mm","78,4606mm","B","0,00",""
"RM3","SM/R/0805","-271,018mm","62,2046mm","-271,018mm","63,3476mm","-271,018mm","63,3476mm","B","0,00",""
"R35","SM/R/0805","-286,639mm","89,8906mm","-286,639mm","88,7476mm","-286,639mm","88,7476mm","B","0,00",""
"R33","SM/R/0805","-286,639mm","72,6186mm","-286,639mm","71,4756mm","-286,639mm","71,4756mm","B","0,00",""
"R34","SM/R/0805","-281,686mm","59,6646mm","-281,686mm","58,5216mm","-281,686mm","58,5216mm","B","0,00",""
"R37","SM/R/0805","-218,948mm","7,0866mm","-218,948mm","8,2296mm","-218,948mm","8,2296mm","B","0,00",""
"R38","SM/R/0805","-216,154mm","14,1986mm","-216,154mm","13,0556mm","-216,154mm","13,0556mm","B","0,00",""
"R36","SM/R/0805","-232,283mm","7,0866mm","-232,283mm","5,9436mm","-232,283mm","5,9436mm","B","0,00",""
"R50","SM/R/0805","-229,616mm","7,0866mm","-229,616mm","5,9436mm","-229,616mm","5,9436mm","B","0,00",""
"R43","SM/R/0805","-238,125mm","20,1676mm","-238,125mm","21,3106mm","-238,125mm","21,3106mm","B","0,00",""
"R44","SM/R/0805","-193,802mm","72,4916mm","-194,945mm","72,4916mm","-194,945mm","72,4916mm","B","0,00",""
"R46","SM/R/0805","-237,617mm","46,9646mm","-237,617mm","48,1076mm","-237,617mm","48,1076mm","B","0,00",""
"R47","SM/R/0805","-255,905mm","20,1676mm","-255,905mm","21,3106mm","-255,905mm","21,3106mm","B","0,00",""
"R51","SM/R/0805","-244,475mm","20,1676mm","-244,475mm","21,3106mm","-244,475mm","21,3106mm","B","0,00",""
"Q12","BC337","-248,666mm","87,9856mm","-246,126mm","87,9856mm","-251,206mm","87,9856mm","T","0,00",""
"Q7","SOT23/BEC","-227,3808mm","53,4289mm","-226,441mm","52,4256mm","-228,3206mm","52,4256mm","B","0,00",""
"Q8","SOT23/BEC","-233,4387mm","46,7614mm","-234,442mm","45,8216mm","-234,442mm","47,7012mm","B","0,00",""
"R9","SM/R/0805","-247,269mm","85,4456mm","-246,126mm","85,4456mm","-246,126mm","85,4456mm","B","0,00",""
"R20","SM/R/0805","-237,617mm","51,9176mm","-237,617mm","53,0606mm","-237,617mm","53,0606mm","B","0,00",""
"R21","SM/R/0805","-236,728mm","61,4426mm","-236,728mm","62,5856mm","-236,728mm","62,5856mm","B","0,00",""
"R23","SM/R/0805","-231,648mm","61,4426mm","-231,648mm","62,5856mm","-231,648mm","62,5856mm","B","0,00",""
"R22","SM/R/0805","-226,568mm","61,4426mm","-226,568mm","62,5856mm","-226,568mm","62,5856mm","B","0,00",""
"C20","SM/R/0805","-229,108mm","61,4426mm","-229,108mm","60,2996mm","-229,108mm","60,2996mm","B","0,00",""
"C21","SM/R/0805","-234,188mm","61,4426mm","-234,188mm","62,5856mm","-234,188mm","62,5856mm","B","0,00",""
"R41","SM/R/0805","-238,506mm","107,0356mm","-238,506mm","105,8926mm","-238,506mm","105,8926mm","B","0,00",""
"R18","SM/R/0805","-251,206mm","51,1556mm","-251,206mm","52,2986mm","-251,206mm","52,2986mm","B","0,00",""
"R19","SM/R/0805","-248,666mm","51,1556mm","-248,666mm","52,2986mm","-248,666mm","52,2986mm","B","0,00",""
"R25","SM/R/0805","-240,411mm","46,9646mm","-240,411mm","45,8216mm","-240,411mm","45,8216mm","B","0,00",""
"R40","SM/R/0805","-246,126mm","70,5866mm","-246,126mm","71,7296mm","-246,126mm","71,7296mm","B","0,00",""
"R24","SM/R/0805","-226,441mm","46,9646mm","-226,441mm","48,1076mm","-226,441mm","48,1076mm","B","0,00",""
"R26","SM/R/0805","-229,108mm","46,9646mm","-229,108mm","45,8216mm","-229,108mm","45,8216mm","B","0,00",""
"R15","SM/R/0805","-234,188mm","75,1586mm","-234,188mm","74,0156mm","-234,188mm","74,0156mm","B","0,00",""
"R67","SM/R/0805","-231,648mm","75,1586mm","-231,648mm","76,3016mm","-231,648mm","76,3016mm","B","0,00",""
"R16","SM/R/0805","-231,648mm","96,1136mm","-231,648mm","97,2566mm","-231,648mm","97,2566mm","B","0,00",""
"R17","SM/R/0805","-231,648mm","91,2876mm","-231,648mm","90,1446mm","-231,648mm","90,1446mm","B","0,00",""
"C7","SM/R/0805","-239,268mm","75,1586mm","-239,268mm","76,3016mm","-239,268mm","76,3016mm","B","0,00",""
"C16","SM/R/0805","-231,648mm","83,4136mm","-231,648mm","82,2706mm","-231,648mm","82,2706mm","B","0,00",""
"Q9A","BC337","-221,234mm","21,5646mm","-221,234mm","19,0246mm","-221,234mm","21,5646mm","T","0,00",""
"D6","DO213AA/KA","-224,917mm","90,0938mm","-224,917mm","88,3666mm","-224,917mm","91,821mm","B","0,00",""
"Q15","BC337","-212,471mm","90,1446mm","-215,011mm","90,1446mm","-209,931mm","90,1446mm","T","0,00",""
"Q17","SOT23/BEC","-218,2368mm","114,8969mm","-217,297mm","113,8936mm","-219,1766mm","113,8936mm","B","0,00",""
"Q14","SOT23/BEC","-250,8377mm","66,4464mm","-251,841mm","65,5066mm","-251,841mm","67,3862mm","B","0,00",""
"Q16","SOT23/BEC","-222,8342mm","112,8903mm","-223,774mm","113,8936mm","-221,8944mm","113,8936mm","B","0,00",""
"R62","SM/R/0805","-227,33mm","111,8616mm","-226,187mm","111,8616mm","-226,187mm","111,8616mm","B","0,00",""
"R53","SM/R/0805","-251,841mm","58,9026mm","-251,841mm","60,0456mm","-251,841mm","60,0456mm","B","0,00",""
"R54","SM/R/0805","-248,92mm","110,0836mm","-248,92mm","108,9406mm","-248,92mm","108,9406mm","B","0,00",""
"R55","SM/R/0805","-238,506mm","113,8936mm","-238,506mm","112,7506mm","-238,506mm","112,7506mm","B","0,00",""
"R56","SM/R/0805","-243,586mm","113,8936mm","-243,586mm","112,7506mm","-243,586mm","112,7506mm","B","0,00",""
"R59","SM/R/0805","-6,731mm","89,6366mm","-6,731mm","90,7796mm","-6,731mm","90,7796mm","B","0,00",""
"R66","SM/R/0805","-3,048mm","89,6366mm","-3,048mm","88,4936mm","-3,048mm","88,4936mm","B","0,00",""
"R60","SM/R/0805","-213,868mm","93,0656mm","-212,725mm","93,0656mm","-212,725mm","93,0656mm","B","0,00",""
"R61","SM/R/0805","-211,836mm","115,7986mm","-211,836mm","116,9416mm","-211,836mm","116,9416mm","B","0,00",""
"R58","SM/R/0805","-215,138mm","43,2816mm","-215,138mm","42,1386mm","-215,138mm","42,1386mm","B","0,00",""
"C8","SM/R/0805","-246,126mm","113,8936mm","-246,126mm","115,0366mm","-246,126mm","115,0366mm","B","0,00",""
"D24","DO213AA/KA","-248,666mm","60,6298mm","-248,666mm","58,9026mm","-248,666mm","62,357mm","B","0,00",""
"D25","DO213AA/KA","-254,762mm","52,8828mm","-254,762mm","51,1556mm","-254,762mm","54,61mm","B","0,00",""
"R39","SM/R/0805","-224,409mm","130,1496mm","-223,266mm","130,1496mm","-223,266mm","130,1496mm","B","0,00",""
"C27","CCIR2","-61,595mm","88,6206mm","-61,595mm","86,0806mm","-61,595mm","86,0806mm","T","0,00",""
"C28","CCIR2","-44,323mm","72,2376mm","-41,783mm","72,2376mm","-41,783mm","72,2376mm","T","0,00",""
"C25","CCIR2","-34,798mm","56,9976mm","-34,798mm","59,5376mm","-34,798mm","59,5376mm","T","0,00",""
"D11","Diodo3A","-88,392mm","29,5783mm","-88,392mm","26,0096mm","-88,392mm","33,147mm","B","0,00",""
"D23","Diodo3A","-81,788mm","29,5529mm","-81,788mm","33,1216mm","-81,788mm","25,9842mm","B","0,00",""
"D8","Diodo3A","-75,184mm","29,5529mm","-75,184mm","33,1216mm","-75,184mm","25,9842mm","B","0,00",""
"D10","Diodo3A","-94,6277mm","60,8076mm","-91,059mm","60,8076mm","-98,1964mm","60,8076mm","B","0,00",""
"D9","Diodo3A","-94,6277mm","54,0766mm","-91,059mm","54,0766mm","-98,1964mm","54,0766mm","B","0,00",""
"D21","Diodo3A","-15,6083mm","49,1236mm","-19,177mm","49,1236mm","-12,0396mm","49,1236mm","B","0,00",""
"D22","Diodo3A","-15,6083mm","56,1086mm","-19,177mm","56,1086mm","-12,0396mm","56,1086mm","B","0,00",""
"D13","Diodo3A","-94,6023mm","40,6146mm","-98,171mm","40,6146mm","-91,0336mm","40,6146mm","B","0,00",""
"D14","Diodo3A","-94,6023mm","47,3456mm","-98,171mm","47,3456mm","-91,0336mm","47,3456mm","B","0,00",""
"D17","Diodo3A","-17,0307mm","73,3806mm","-13,462mm","73,3806mm","-20,5994mm","73,3806mm","B","0,00",""
"D18","Diodo3A","-17,0307mm","66,7766mm","-13,462mm","66,7766mm","-20,5994mm","66,7766mm","B","0,00",""
"C33","SM/R/0805","-254,762mm","58,9026mm","-254,762mm","60,0456mm","-254,762mm","60,0456mm","B","0,00",""
"D2","DO213AA/KA","-218,059mm","90,0684mm","-218,059mm","91,7956mm","-218,059mm","88,3412mm","B","0,00",""
"D3","DO213AA/KA","-199,4662mm","72,4916mm","-197,739mm","72,4916mm","-201,1934mm","72,4916mm","B","0,00",""
"D4","DO213AA/KA","-228,346mm","90,0684mm","-228,346mm","91,7956mm","-228,346mm","88,3412mm","B","0,00",""
"D7","DO213AA/KA","-221,488mm","90,0938mm","-221,488mm","88,3666mm","-221,488mm","91,821mm","B","0,00",""
"C24","100N/63/100V","-121,158mm","77,9526mm","-121,158mm","81,7626mm","-121,158mm","81,7626mm","T","0,00",""
"C22","100N/63/100V","-100,203mm","26,7716mm","-100,203mm","30,5816mm","-100,203mm","22,9616mm","T","0,00",""
"R11","RES4","-210,82mm","100,1776mm","-205,74mm","100,1776mm","-205,74mm","100,1776mm","T","0,00",""
"R13","RES4","-210,82mm","103,3526mm","-215,9mm","103,3526mm","-215,9mm","103,3526mm","T","0,00",""
"X5","FURO","-5,588mm","2,159mm","-5,588mm","2,1336mm","-5,588mm","2,159mm","T","0,00",""
"X1","FURO","-280,416mm","5,715mm","-280,416mm","5,6896mm","-280,416mm","5,715mm","T","0,00",""
"TERRA","FURO","-269,24mm","130,048mm","-269,24mm","130,0226mm","-269,24mm","130,048mm","T","0,00",""
"X2","FURO","-280,416mm","130,302mm","-280,416mm","130,2766mm","-280,416mm","130,302mm","T","0,00",""
"D3","FURO","-145,288mm","65,405mm","-145,288mm","65,3796mm","-145,288mm","65,405mm","T","0,00",""
"P3","FURO","-140,081mm","68,072mm","-140,081mm","68,0466mm","-140,081mm","68,072mm","T","0,00",""
"P1","FURO","-291,973mm","136,144mm","-291,973mm","136,1186mm","-291,973mm","136,144mm","T","0,00",""
"P2","FURO","-291,973mm","0mm","-291,973mm","-0,0254mm","-291,973mm","0mm","T","0,00",""
"P5","FURO","0mm","0mm","0mm","-0,0254mm","0mm","0mm","T","0,00",""
